date,press_mean,rhdp_mean,temp_mean,wind_mean,aqi,covid_yes,month,season,year
2019-01-01,1004.375,66.5,46.416667,5.070833,27,0,1,winter,2019
2019-01-02,1022.041667,39.833333,31.625,3.6625,35,0,1,winter,2019
2019-01-03,1010.666667,64.375,38.416667,2.970833,37,0,1,winter,2019
2019-01-04,1009.416667,53.458333,40.291667,3.145833,53,0,1,winter,2019
2019-01-05,1000.25,83.541667,39.916667,3.8125,62,0,1,winter,2019
2019-01-06,1007.708333,59.541667,36.416667,5.216667,39,0,1,winter,2019
2019-01-07,1025.541667,30.875,24.958333,4.795833,33,0,1,winter,2019
2019-01-08,1013.208333,74.458333,35.583333,1.954167,44,0,1,winter,2019
2019-01-09,992.083333,71.916667,39,4.333333,35,0,1,winter,2019
2019-01-10,997.666667,53.25,32.5,5.508333,29,0,1,winter,2019
2019-01-11,1015.166667,41.791667,23.75,6.870833,34,0,1,winter,2019
2019-01-12,1028,35,20.416667,4.933333,31,0,1,winter,2019
2019-01-13,1027.458333,50.041667,22.458333,3.829167,39,0,1,winter,2019
2019-01-14,1019.833333,59.458333,26.958333,4.629167,51,0,1,winter,2019
2019-01-15,1015.458333,47.583333,29.666667,3.708333,41,0,1,winter,2019
2019-01-16,1013.041667,57.208333,32,3.022727,55,0,1,winter,2019
2019-01-17,1024.083333,35.375,25,2.9875,39,0,1,winter,2019
2019-01-18,1017.666667,58.458333,34.333333,1.725,48,0,1,winter,2019
2019-01-19,1020.583333,62.958333,31.041667,3.2875,41,0,1,winter,2019
2019-01-20,997.208333,87.333333,25.666667,5.3875,29,0,1,winter,2019
2019-01-21,1007.125,55.875,5.666667,5.633333,41,0,1,winter,2019
2019-01-22,1028.25,35.291667,17.375,4.125,61,0,1,winter,2019
2019-01-23,1021.125,62.375,33.25,3.945833,51,0,1,winter,2019
2019-01-24,998.291667,84.625,52.583333,7.529167,35,0,1,winter,2019
2019-01-25,1008.625,47.625,35.041667,3.5875,44,0,1,winter,2019
2019-01-26,1020.333333,39.083333,28.958333,2.45,52,0,1,winter,2019
